pdb_id,pH,temp
1EC7,8.0,277.0
1EC8,8.0,277.0
1EC9,8.0,277.0
1ECQ,8.0,277.0
1ECR,5.3,293.0
1ECS,7.0,298.0
1ECV,7.5,294.0
1ECW,8.0,293.0
1ECX,7.8,291.0
1ED1,8.0,293.0
1ED3,6.5,290.0
1ED4,6.5,280.0
1ED5,6.5,280.0
1ED6,6.5,280.0
1ED8,7.5,298.0
1ED9,7.5,298.0
1EDG,6.0,277.0
1EDQ,7.2,293.0
1EDU,7.5,293.0
1EDY,7.0,293.0
1EE0,5.5,277.0
1EE1,5.2,298.0
1EE2,7.0,277.0
1EE3,7.5,293.0
1EE5,7.0,298.0
1EE6,6.7,277.0
1EEH,5.2,288.0
1EEJ,6.5,291.0
1EEO,7.5,277.0
1EEP,7.5,298.0
1EEQ,7.5,298.0
1EET,7.2,294.0
1EEU,5.6,298.0
1EEX,8.0,277.0
1EEY,6.5,298.0
1EEZ,6.5,298.0
1EF1,7.8,277.0
1EF2,7.5,298.0
1EF3,7.5,277.0
1EF7,8.0,293.0
1EF9,6.0,298.0
1EFA,7.5,298.0
1EFG,7.8,277.0
1EFH,5.75,300.0
1EFK,6.5,277.0
1EFL,6.5,277.0
1EFQ,6.5,298.0
1EFW,7.5,290.0
1EFX,6.5,298.0
1EG2,7.6,291.0
1EG3,6.5,298.0
1EG4,7.0,298.0
1EG5,7.8,291.0
1EG7,7.6,291.0
1EGG,8.0,294.0
1EGH,6.5,298.0
1EGI,8.0,294.0
1EGJ,5.5,295.0
1EGM,8.0,277.0
1EGN,5.0,293.0
1EGQ,6.5,277.0
1EGU,6.0,295.0
1EGV,8.0,277.0
1EH3,8.0,277.0
1EH5,6.5,293.0
1EH6,7.5,298.0
1EH7,7.5,298.0
1EH8,7.5,298.0
1EH9,7.5,282.0
1EHA,7.5,282.0
1EHB,8.0,293.0
1EHD,5.6,298.0
1EHE,6.5,293.0
1EHF,6.5,293.0
1EHG,6.5,293.0
1EHH,5.6,298.0
1EHK,7.0,293.0
1EHL,7.5,293.0
1EHN,7.2,298.0
1EHW,7.5,291.0
1EI1,7.5,279.0
1EI3,6.75,298.0
1EI5,5.0,294.0
1EI6,7.0,298.0
1EI7,8.0,300.0
1EI9,6.5,298.0
1EIB,7.2,291.0
1EIC,6.0,298.0
1EID,6.0,298.0
1EIE,6.0,298.0
1EIL,7.5,285.0
1EIQ,7.5,285.0
1EIR,7.5,285.0
1EIS,6.0,290.0
1EIX,7.0,290.0
1EIY,7.2,293.0
1EIZ,5.65,298.0
1EJ0,5.65,298.0
1EJ1,6.0,277.0
1EJ3,7.2,290.0
1EJ4,7.5,293.0
1EJ6,7.0,298.0
1EJ7,5.2,295.0
1EJ8,7.5,277.0
1EJ9,6.8,295.0
1EJA,7.7,298.0
1EJB,7.0,295.0
1EJC,6.5,292.0
1EJD,6.5,292.0
1EJE,6.0,295.0
1EJG,7.0,293.0
1EJI,7.7,295.0
1EJJ,7.4,295.0
1EJL,6.5,293.0
1EJN,5.2,298.0
1EJR,7.5,298.0
1EJS,7.5,298.0
1EJT,7.5,298.0
1EJU,7.5,298.0
1EJV,7.5,298.0
1EJW,7.5,298.0
1EJX,7.5,298.0
1EJY,6.5,293.0
1EK0,7.5,291.0
1EK1,6.0,298.0
1EK2,6.0,298.0
1EK4,7.4,294.0
1EK5,7.5,298.0
1EK6,6.0,273.0
1EK8,6.5,287.0
1EK9,7.4,298.0
1EKE,6.2,293.0
1EKF,7.0,298.0
1EKG,6.0,291.0
1EKJ,5.2,277.0
1EKK,7.5,298.0
1EKO,6.2,277.0
1EKP,7.0,298.0
1EKQ,7.5,298.0
1EKR,7.5,295.0
1EKS,5.6,295.0
1EKU,7.5,298.0
1EKX,7.5,277.0
1EL1,5.8,291.0
1EL3,5.0,277.0
1EL4,6.0,277.0
1EL5,7.0,295.0
1EL6,7.5,293.0
1EL7,7.0,295.0
1EL8,7.0,295.0
1EL9,7.0,295.0
1ELI,7.0,295.0
1ELK,7.5,298.0
1ELL,7.5,293.0
1ELM,5.5,293.0
1ELQ,6.0,293.0
1ELU,6.0,293.0
1ELV,7.4,277.0
1EM1,8.0,293.0
1EM6,6.0,290.0
1EM8,6.8,277.0
1EMH,6.5,297.0
1EMJ,6.5,298.0
1EMR,6.0,289.0
1EMS,7.0,295.0
1EMU,5.5,293.0
1EMV,5.3,277.0
1EN2,6.0,290.0
1EN4,8.0,298.0
1EN6,8.0,298.0
1ENM,6.0,290.0
1EO2,7.0,298.0
1EO3,7.5,290.0
1EO4,7.5,290.0
1EO6,7.5,293.0
1EO7,6.1,293.0
1EO8,6.0,293.0
1EO9,7.0,298.0
1EOA,7.0,298.0
1EOB,7.0,298.0
1EOC,7.0,298.0
1EOD,7.5,277.0
1EOE,7.5,277.0
1EOF,7.4,277.0
1EOG,6.5,293.0
1EOI,8.0,298.0
1EOJ,5.5,291.0
1EOK,7.0,283.0
1EOL,5.5,291.0
1EOM,7.0,283.0
1EON,7.5,290.0
1EOO,5.0,297.0
1EOS,5.0,298.0
1EOV,5.6,278.0
1EOW,5.5,298.0
1EP4,5.0,277.0
1EP5,6.5,291.0
1EP6,6.5,291.0
1EP7,6.5,293.0
1EP8,6.5,293.0
1EP9,7.4,291.0
1EPU,7.4,277.0
1EPW,6.0,291.0
1EPY,7.0,277.0
1EQ2,7.5,295.0
1EQ6,6.0,291.0
1EQB,7.2,298.0
1EQC,7.3,291.0
1EQD,5.6,298.0
1EQG,6.7,277.0
1EQH,6.7,291.0
1EQJ,6.7,295.0
1EQP,7.3,291.0
1EQR,7.0,277.0
1EQY,6.6,298.0
1ERM,8.0,298.0
1ERO,8.0,298.0
1ERQ,8.0,298.0
1ERX,5.6,295.0
1ERZ,7.5,293.0
1ES0,6.5,277.0
1ES1,7.5,293.0
1ES2,7.2,293.0
1ES3,6.0,293.0
